Year,Dublin,Ireland
1841,372000,6530000
1851,405000,5110000
1861,410000,4400000
1871,405000,4050000
1881,418000,3870000
1891,419000,3470000
1901,448000,3220000
1911,477000,3140000
1926,505000,2970000
1936,586000,2970000
1946,636000,2960000
1951,693000,2960000
1956,705000,2900000
1961,718000,2820000
1966,795000,2880000
1971,852000,2980000
1979,983000,3370000
1981,1003000,3440000
1986,1021000,3540000
1991,1025000,3530000
1996,1058000,3630000
2002,1122000,3920000
2006,1186000,4240000
2011,1271000,4580000
2016,1345000,4760000
