Year,Month,Entry Type,Tax Type,Amount
1984,January,Actual Outturn,Customs,8888
1984,January,Actual Outturn,Excise Duty,100210
1984,January,Actual Outturn,Capital Gains Tax,2220
1984,January,Actual Outturn,Stamps,9683
1984,January,Actual Outturn,Income Tax,203590
1984,January,Actual Outturn,Corporation Tax,13318
1984,January,Actual Outturn,Valued Added Tax,150982
1984,January,Actual Outturn,Training and Employment Levy,10542
1984,January,Actual Outturn,Motor Vehicle Duties,11136
1984,February,Actual Outturn,Customs,9523
1984,February,Actual Outturn,Excise Duty,113701
1984,February,Actual Outturn,Capital Gains Tax,2617
1984,February,Actual Outturn,Stamps,10955
1984,February,Actual Outturn,Income Tax,188239
1984,February,Actual Outturn,Corporation Tax,13387
1984,February,Actual Outturn,Valued Added Tax,143272
1984,February,Actual Outturn,Training and Employment Levy,7988
1984,February,Actual Outturn,Motor Vehicle Duties,16278
1984,March,Actual Outturn,Customs,9523
1984,March,Actual Outturn,Excise Duty,120959
1984,March,Actual Outturn,Capital Gains Tax,2746
1984,March,Actual Outturn,Stamps,8652
1984,March,Actual Outturn,Income Tax,250169
1984,March,Actual Outturn,Corporation Tax,10705
1984,March,Actual Outturn,Valued Added Tax,155572
1984,March,Actual Outturn,Training and Employment Levy,9109
1984,March,Actual Outturn,Motor Vehicle Duties,13722
1984,April,Actual Outturn,Customs,10793
1984,April,Actual Outturn,Excise Duty,108851
1984,April,Actual Outturn,Capital Gains Tax,2448
1984,April,Actual Outturn,Stamps,5942
1984,April,Actual Outturn,Income Tax,205460
1984,April,Actual Outturn,Corporation Tax,12701
1984,April,Actual Outturn,Valued Added Tax,92486
1984,April,Actual Outturn,Training and Employment Levy,7691
1984,April,Actual Outturn,Motor Vehicle Duties,10935
1984,May,Actual Outturn,Customs,10793
1984,May,Actual Outturn,Excise Duty,139832
1984,May,Actual Outturn,Capital Gains Tax,3501
1984,May,Actual Outturn,Stamps,11024
1984,May,Actual Outturn,Income Tax,214197
1984,May,Actual Outturn,Corporation Tax,15285
1984,May,Actual Outturn,Valued Added Tax,150408
1984,May,Actual Outturn,Training and Employment Levy,11858
1984,May,Actual Outturn,Motor Vehicle Duties,13595
1984,June,Actual Outturn,Customs,8403
1984,June,Actual Outturn,Excise Duty,129016
1984,June,Actual Outturn,Capital Gains Tax,2955
1984,June,Actual Outturn,Stamps,8366
1984,June,Actual Outturn,Income Tax,202172
1984,June,Actual Outturn,Corporation Tax,7362
1984,June,Actual Outturn,Valued Added Tax,110024
1984,June,Actual Outturn,Training and Employment Levy,12172
1984,June,Actual Outturn,Motor Vehicle Duties,10468
1984,July,Actual Outturn,Customs,9777
1984,July,Actual Outturn,Excise Duty,140284
1984,July,Actual Outturn,Capital Gains Tax,2834
1984,July,Actual Outturn,Stamps,9042
1984,July,Actual Outturn,Income Tax,214770
1984,July,Actual Outturn,Corporation Tax,59097
1984,July,Actual Outturn,Valued Added Tax,187655
1984,July,Actual Outturn,Training and Employment Levy,1590
1984,July,Actual Outturn,Motor Vehicle Duties,11161
1984,August,Actual Outturn,Customs,11428
1984,August,Actual Outturn,Excise Duty,139500
1984,August,Actual Outturn,Capital Gains Tax,6267
1984,August,Actual Outturn,Stamps,13613
1984,August,Actual Outturn,Income Tax,191398
1984,August,Actual Outturn,Corporation Tax,43626
1984,August,Actual Outturn,Valued Added Tax,104885
1984,August,Actual Outturn,Training and Employment Levy,18664
1984,August,Actual Outturn,Motor Vehicle Duties,12347
1984,September,Actual Outturn,Customs,6707
1984,September,Actual Outturn,Excise Duty,139450
1984,September,Actual Outturn,Capital Gains Tax,1389
1984,September,Actual Outturn,Stamps,39521
1984,September,Actual Outturn,Income Tax,211960
1984,September,Actual Outturn,Corporation Tax,19074
1984,September,Actual Outturn,Valued Added Tax,179430
1984,September,Actual Outturn,Training and Employment Levy,9671
1984,September,Actual Outturn,Motor Vehicle Duties,9725
1984,October,Actual Outturn,Customs,11428
1984,October,Actual Outturn,Excise Duty,136311
1984,October,Actual Outturn,Capital Gains Tax,4128
1984,October,Actual Outturn,Stamps,7728
1984,October,Actual Outturn,Income Tax,193393
1984,October,Actual Outturn,Corporation Tax,28470
1984,October,Actual Outturn,Valued Added Tax,116316
1984,October,Actual Outturn,Training and Employment Levy,744
1984,October,Actual Outturn,Motor Vehicle Duties,10886
1984,November,Actual Outturn,Customs,11174
1984,November,Actual Outturn,Excise Duty,125735
1984,November,Actual Outturn,Capital Gains Tax,3196
1984,November,Actual Outturn,Stamps,10607
1984,November,Actual Outturn,Income Tax,245345
1984,November,Actual Outturn,Corporation Tax,33600
1984,November,Actual Outturn,Valued Added Tax,213837
1984,November,Actual Outturn,Training and Employment Levy,18224
1984,November,Actual Outturn,Motor Vehicle Duties,10780
1984,December  ,Actual Outturn,Customs,9127
1984,December  ,Actual Outturn,Excise Duty,182652
1984,December  ,Actual Outturn,Capital Gains Tax,3965
1984,December  ,Actual Outturn,Stamps,7364
1984,December  ,Actual Outturn,Income Tax,275447
1984,December  ,Actual Outturn,Corporation Tax,9606
1984,December  ,Actual Outturn,Valued Added Tax,124053
1984,December  ,Actual Outturn,Training and Employment Levy,19570
1984,December  ,Actual Outturn,Motor Vehicle Duties,9690
1985,January,Actual Outturn,Customs,12063
1985,January,Actual Outturn,Excise Duty,103184
1985,January,Actual Outturn,Capital Gains Tax,2644
1985,January,Actual Outturn,Stamps,9482
1985,January,Actual Outturn,Income Tax,237722
1985,January,Actual Outturn,Corporation Tax,15123
1985,January,Actual Outturn,Valued Added Tax,185144
1985,January,Actual Outturn,Training and Employment Levy,9088
1985,January,Actual Outturn,Motor Vehicle Duties,12504
1985,February,Actual Outturn,Customs,14983
1985,February,Actual Outturn,Excise Duty,119649
1985,February,Actual Outturn,Capital Gains Tax,3507
1985,February,Actual Outturn,Stamps,11562
1985,February,Actual Outturn,Income Tax,184598
1985,February,Actual Outturn,Corporation Tax,11100
1985,February,Actual Outturn,Valued Added Tax,120132
1985,February,Actual Outturn,Training and Employment Levy,9582
1985,February,Actual Outturn,Motor Vehicle Duties,15509
1985,March,Actual Outturn,Customs,10158
1985,March,Actual Outturn,Excise Duty,132874
1985,March,Actual Outturn,Capital Gains Tax,2953
1985,March,Actual Outturn,Stamps,7406
1985,March,Actual Outturn,Income Tax,193264
1985,March,Actual Outturn,Corporation Tax,9292
1985,March,Actual Outturn,Valued Added Tax,166149
1985,March,Actual Outturn,Training and Employment Levy,8232
1985,March,Actual Outturn,Motor Vehicle Duties,13816
1985,April,Actual Outturn,Customs,11428
1985,April,Actual Outturn,Excise Duty,108158
1985,April,Actual Outturn,Capital Gains Tax,2719
1985,April,Actual Outturn,Stamps,7277
1985,April,Actual Outturn,Income Tax,207586
1985,April,Actual Outturn,Corporation Tax,17816
1985,April,Actual Outturn,Valued Added Tax,109548
1985,April,Actual Outturn,Training and Employment Levy,616
1985,April,Actual Outturn,Motor Vehicle Duties,14445
1985,May,Actual Outturn,Customs,10793
1985,May,Actual Outturn,Excise Duty,147984
1985,May,Actual Outturn,Capital Gains Tax,2892
1985,May,Actual Outturn,Stamps,15079
1985,May,Actual Outturn,Income Tax,236114
1985,May,Actual Outturn,Corporation Tax,12663
1985,May,Actual Outturn,Valued Added Tax,181350
1985,May,Actual Outturn,Training and Employment Levy,18328
1985,May,Actual Outturn,Motor Vehicle Duties,14182
1985,June,Actual Outturn,Customs,8429
1985,June,Actual Outturn,Excise Duty,142011
1985,June,Actual Outturn,Capital Gains Tax,6382
1985,June,Actual Outturn,Stamps,9009
1985,June,Actual Outturn,Income Tax,222114
1985,June,Actual Outturn,Corporation Tax,9642
1985,June,Actual Outturn,Valued Added Tax,125789
1985,June,Actual Outturn,Training and Employment Levy,4678
1985,June,Actual Outturn,Motor Vehicle Duties,11000
1985,July,Actual Outturn,Customs,11428
1985,July,Actual Outturn,Excise Duty,139638
1985,July,Actual Outturn,Capital Gains Tax,4016
1985,July,Actual Outturn,Stamps,9912
1985,July,Actual Outturn,Income Tax,251374
1985,July,Actual Outturn,Corporation Tax,52905
1985,July,Actual Outturn,Valued Added Tax,163770
1985,July,Actual Outturn,Training and Employment Levy,8518
1985,July,Actual Outturn,Motor Vehicle Duties,14599
1985,August,Actual Outturn,Customs,7999
1985,August,Actual Outturn,Excise Duty,144584
1985,August,Actual Outturn,Capital Gains Tax,3791
1985,August,Actual Outturn,Stamps,12734
1985,August,Actual Outturn,Income Tax,226465
1985,August,Actual Outturn,Corporation Tax,53461
1985,August,Actual Outturn,Valued Added Tax,99046
1985,August,Actual Outturn,Training and Employment Levy,19997
1985,August,Actual Outturn,Motor Vehicle Duties,11720
1985,September,Actual Outturn,Customs,5793
1985,September,Actual Outturn,Excise Duty,149166
1985,September,Actual Outturn,Capital Gains Tax,3323
1985,September,Actual Outturn,Stamps,41098
1985,September,Actual Outturn,Income Tax,235147
1985,September,Actual Outturn,Corporation Tax,19311
1985,September,Actual Outturn,Valued Added Tax,193240
1985,September,Actual Outturn,Training and Employment Levy,11264
1985,September,Actual Outturn,Motor Vehicle Duties,12783
1985,October,Actual Outturn,Customs,11047
1985,October,Actual Outturn,Excise Duty,145219
1985,October,Actual Outturn,Capital Gains Tax,3539
1985,October,Actual Outturn,Stamps,7764
1985,October,Actual Outturn,Income Tax,206406
1985,October,Actual Outturn,Corporation Tax,28616
1985,October,Actual Outturn,Valued Added Tax,115207
1985,October,Actual Outturn,Training and Employment Levy,11755
1985,October,Actual Outturn,Motor Vehicle Duties,13156
1985,November,Actual Outturn,Customs,11428
1985,November,Actual Outturn,Excise Duty,125917
1985,November,Actual Outturn,Capital Gains Tax,3201
1985,November,Actual Outturn,Stamps,12022
1985,November,Actual Outturn,Income Tax,287052
1985,November,Actual Outturn,Corporation Tax,29783
1985,November,Actual Outturn,Valued Added Tax,195791
1985,November,Actual Outturn,Training and Employment Levy,9479
1985,November,Actual Outturn,Motor Vehicle Duties,11433
1985,December  ,Actual Outturn,Customs,7389
1985,December  ,Actual Outturn,Excise Duty,212663
1985,December  ,Actual Outturn,Capital Gains Tax,2470
1985,December  ,Actual Outturn,Stamps,8423
1985,December  ,Actual Outturn,Income Tax,276404
1985,December  ,Actual Outturn,Corporation Tax,16079
1985,December  ,Actual Outturn,Valued Added Tax,125398
1985,December  ,Actual Outturn,Training and Employment Levy,12195
1985,December  ,Actual Outturn,Motor Vehicle Duties,9850
1986,January,Actual Outturn,Customs,11428
1986,January,Actual Outturn,Excise Duty,111869
1986,January,Actual Outturn,Capital Gains Tax,2310
1986,January,Actual Outturn,Stamps,10039
1986,January,Actual Outturn,Income Tax,276449
1986,January,Actual Outturn,Corporation Tax,16429
1986,January,Actual Outturn,Valued Added Tax,211789
1986,January,Actual Outturn,Training and Employment Levy,10677
1986,January,Actual Outturn,Motor Vehicle Duties,14249
1986,February,Actual Outturn,Customs,8634
1986,February,Actual Outturn,Excise Duty,134334
1986,February,Actual Outturn,Capital Gains Tax,2663
1986,February,Actual Outturn,Stamps,9955
1986,February,Actual Outturn,Income Tax,222099
1986,February,Actual Outturn,Corporation Tax,10230
1986,February,Actual Outturn,Valued Added Tax,105388
1986,February,Actual Outturn,Training and Employment Levy,650
1986,February,Actual Outturn,Motor Vehicle Duties,18049
1986,March,Actual Outturn,Customs,5904
1986,March,Actual Outturn,Excise Duty,127195
1986,March,Actual Outturn,Capital Gains Tax,2989
1986,March,Actual Outturn,Stamps,9364
1986,March,Actual Outturn,Income Tax,213619
1986,March,Actual Outturn,Corporation Tax,6416
1986,March,Actual Outturn,Valued Added Tax,174688
1986,March,Actual Outturn,Training and Employment Levy,19524
1986,March,Actual Outturn,Motor Vehicle Duties,14223
1986,April,Actual Outturn,Customs,9650
